Created-At,From-User,Text,Retweet-Count,Id
12/22/2020 3:02:00 PM,Ricko Putra,"@akuanak95595151 @Sepdhan1 @ChahrulIrawan Psbb kok sampai 5x sih itu artinya warga jakarta kurang peduli..dan fakta bahwa dki tetap pecah rekor kasus tertinggi harian di indonesia..

 Rekor! Kasus Harian COVID di Jakarta Bertambah 1.899 Per 19 Desember.. #Dungu kok di pelihara sih..??",0,1341292927285270000
12/22/2020 2:23:00 PM,Pengikut Setia,RT @kompascom: PSBB transisi dianggap tidak efektif karena kasus Covid-19 terus bertambah. Epidemiolog bahkan menyebutnya sebagai 'pelongga…,1,1341283231769850000
12/22/2020 2:15:00 PM,Kompas.com,PSBB transisi dianggap tidak efektif karena kasus Covid-19 terus bertambah. Epidemiolog bahkan menyebutnya sebagai 'pelonggaran sosial'. https://t.co/GzHoOIsinx,1,1341281201726780000
12/22/2020 1:18:00 PM,Satpol PP DKI Jakarta,"RT @JerukKelurahan: Kegiatan Ronda Covid-19 PSBB di Lingkungan Rw 003 Kelurahan Kebon Jeruk Jakarta Barat.
https://t.co/jh2fYfdzmL

@aniesb…",1,1341266912391540000
12/22/2020 12:44:00 PM,TribunJakarta.com,"Kasus Covid-19 Meroket hingga Kapasitas RS Rujukan Menipis, PSBB Transisi Dianggap Tak Tepat Lagi
 
 https://t.co/CAenbAR8Xy",0,1341258332292660000
12/22/2020 11:59:00 AM,Baim.,RT @korantempo: Ketersediaan ruang perawatan Covid-19 lebih tiris dibanding saat DKI memutuskan kembali ke PSBB penuh pada September lalu.…,2,1341246927057290000
12/22/2020 11:46:00 AM,Agustian Hutriady,dan kemampuan Jakarta itu dalam menangani wabah covid 19 yaitu PSBB,0,1341243773645280000
12/22/2020 11:45:00 AM,Koran Tempo,"Ketersediaan ruang perawatan Covid-19 lebih tiris dibanding saat DKI memutuskan kembali ke PSBB penuh pada September lalu.  #ingatpesanibu #cucitangan #pakaimasker #jagajarak
https://t.co/gMLbXbYUnk?",2,1341243469302400000
12/22/2020 11:31:00 AM,HardHolmes,"RT @patriot016610: PSBB transisi jakarta di perpanjang hingga 3 januari 2021
Gubernur @DKIJakarta @aniesbaswedan mengimbau warga menahan di…",5,1341239937648060000
12/22/2020 11:11:00 AM,bukan kedai kopi.,"Emang kerjaan gue ga bagian pariwisata, tp bener-bener kerasa bgt pas PSBB apalagi awal covid gaji di potong dari bulan Apr-Nov. Gara-gara pendapatan toko di mall sepi... Gabisa banyangin ekonomi yg di bagian pariwisata sih. Setidaknya ada dampak baiknya lah ga melulu negative.",0,1341234979360010000
12/22/2020 10:32:00 AM,KelurahanKebonJeruk,"Kegiatan Ronda Covid-19 PSBB di Lingkungan Rw 003 Kelurahan Kebon Jeruk Jakarta Barat.
https://t.co/jh2fYfdzmL

@aniesbaswedan 
@BangAriza 
@BeritaJakarta 
@DKIJakarta 
@kominfotikjb
@KecKebonJeruk 
@LAPOR1708 
@JSCLounge 
@SatpolPP_DKI 
@infojkt 
@jktinformasi https://t.co/GAPCVcmtUX",1,1341225193671280000
12/22/2020 10:15:00 AM,Edu,"@Neuralinkpig2 @BhenzArfan @henrysubiakto Bang benz ini sindir anies baswedan ya?
Lihat kota jkt didaftar teratas yg warganya positif covid.
PSBB berjilid2 tanpa kesudahan. 

Wah makjeb sekali nih.
Bentar lagi banjir datang.",0,1341220702502860000
12/22/2020 10:15:00 AM,Radar Cirebon,CORONA Virus Deases (Covid) 19 saat ini tengah mewabah di hampir seluruh lapisan dunia. Virus yang disebut berasal dari China ini juga https://t.co/JD7XU1HroY,0,1341220696907800000
12/22/2020 9:48:00 AM,baso amir,"Setelah Pembatasan Sosial Berskala Besar (PSBB) belum berhasil mengatasi Covid-19 di NKRI, kini muncul RKBB (Reshuffle Kabinet Berskala Besar). Padahal, jika masalah bukan di anggota kabinet, maka reshuffle 3 kali sehari pun tak akan selesaikan masalah. Persis seperti PSBB. https://t.co/itPAUKaNYE",0,1341213953188240000
12/22/2020 7:52:00 AM,eskopisusupandanxxi,"Ini covid ngaco bet sik, psbb lg aj lah gile 2700 org per hari",0,1341184795531830000
12/22/2020 7:07:00 AM,AzfiantoNP,"RT @RadioElshinta: Suasana di Terminal Bus Tanjung Priok, Jakarta Utara, jelang liburan Natal dan Tahun Baru ditengah pandemi Covid 19 masa…",3,1341173536522520000
12/22/2020 6:48:00 AM,Radio Elshinta,"Suasana di Terminal Bus Tanjung Priok, Jakarta Utara, jelang liburan Natal dan Tahun Baru ditengah pandemi Covid 19 masa PSBB, banyak warga melakukan perjakanan keluar kota menggunakan jasa angkutan Bus AKAP. ? Mes
#ElshintaEdisiPagi https://t.co/WomWaW2Kzi",3,1341168654650510000
