Created-At,From-User,Source,Text,Retweet-Count,Id
12/25/2020 7:03:00 AM,Boqyes,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Yg ngerayain lebaran kemaren psbb karna corona, natal pun demikian.
2020 emang tahun petaka buat manusia.",0,1342259732027880000
12/25/2020 6:49:00 AM,Si_Farhan,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,@raehankhrlajri @SiaranBolaLive Maap lg psbb wkwk,0,1342256051614270000
12/25/2020 6:48:00 AM,Daeng Lewa,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@CNNIndonesia Pemerintah sebenarnya yg tidak disiplin, skli tolak karantina pilih PSBB, giliran ada lawan politik pake UU Karantina utk nangkap HRS, tp kerumunan yg lain dibiarkan, hadeuh...",0,1342255759636090000
12/25/2020 6:41:00 AM,KBK News,<a href='https://dlvrit.com/' rel='nofollow'>dlvr.it</a>,RT @ElBeppe: IDEAS Sebut PSBB Jilid Dua di Jakarta Mampu Turunkan Angka Positif Harian Corona hingga 23 Persen https://t.co/bz1BIyjAJt,2,1342253984900240000
12/25/2020 6:38:00 AM,Andhika Bayu,<a href='https://dlvrit.com/' rel='nofollow'>dlvr.it</a>,IDEAS Sebut PSBB Jilid Dua di Jakarta Mampu Turunkan Angka Positif Harian Corona hingga 23 Persen https://t.co/bz1BIyjAJt,2,1342253355880510000
12/25/2020 6:38:00 AM,Kits,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @BNGPY: Itu yang ngucapin met Natal di WAG hasil copas: '...selamat berkumpul dengan keluarga tercinta...', tentu nggak mikir kalau ada…",1,1342253276897530000
12/25/2020 6:38:00 AM,TETSU ?,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,RT @BNPB_Indonesia: Update Sebaran Daerah di Indonesia yang memberlakukan Pembatasan Sosial Berskala Besar (PSBB) tanggal 24 Desember 2020.…,4,1342253222468060000
12/25/2020 6:26:00 AM,Pay,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Itu yang ngucapin met Natal di WAG hasil copas: '...selamat berkumpul dengan keluarga tercinta...', tentu nggak mikir kalau ada yang nggak bisa pulang krn masih pandemi Covid, transportasi dibatasi, PSBB dijalankan guna menghambat laju penularan, eh nggak ada gitu-gitu ya?",1,1342250236144570000
12/21/2020 6:53:00 AM,ImAl ??,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"RT @annisalfr: Berhubung hari ini hari terakhir tugas di COVID center (setelah 2,5 bulan dan 3 minggu masuk full tanpa libur ?), kuingin ce…",32136,1340807640033610000
12/21/2020 6:48:00 AM,Victory02,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @Kanseulir: Jangan Karena Alasan Covid-19, Warga Bangsa Dibuat Mainan.

Tidakkah Kalian Ingat, Siapakah Pencetus PSBB Yang Gak Jelas Itu…",141,1340806211986280000
12/21/2020 6:41:00 AM,Saya 'NgAhok',<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @NdutChaniago: Dan kemurahan hati beliau pernah mampir di saya, di saat bulan puasa, saat itu tengah PSBB dan pekerjaan sedang tidak lan…",2,1340804451548860000
12/21/2020 6:35:00 AM,Dewi,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Dalam upaya pemulihan ekonomi nasional Indonesia. Pemerintah melakukan intervensi pada public health measures melalui PSBB.
#DemiKebaikanRakyatRI https://t.co/ej8enTImaH",0,1340802977687210000
12/21/2020 6:34:00 AM,Jefferson,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Dlm upaya pemulihan ekonomi nasional Indonesia,  pemerintah melakukan intervensi pd public health measures melalui PSBB, 3M, & pengadaan vaksin #DemiKebaikanRakyatRI https://t.co/2rFZI0epIR",0,1340802669867250000
12/21/2020 6:32:00 AM,Ardi,<a href='http://ask.fm/' rel='nofollow'>Ask.fm</a>,"First thing yang akan kalian lakukan ketika psbb kelar? 

Me : meet up sama kenalan :p 

you? — Nggk ada :( https://t.co/gfAN0eXNXj",0,1340802312844030000
12/21/2020 6:31:00 AM,Kanza Kinar,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Dalam upaya pemulihan ekonomi nasional Indonesia pemerintah melakukan intervensi pada Public Health Measures melalui PSBB,3M dan pengadaan vaksin.
#DemuKebaikanRakyatRI https://t.co/UweSHSMNK5",0,1340802124716760000
12/21/2020 6:31:00 AM,Ranger Biru,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,@adrien_tim Masih ada yah psbb hahaa soale udh macete dimana2 mas,0,1340801931107740000
12/21/2020 6:30:00 AM,Die Sya,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Dalam upaya pemulihan ekonomi nasional Indonesia, pemerintah melakukan intervensi pd public health measures melalui PSBB
#DemiKebaikanRakyatRI https://t.co/OekCQ8igDC",0,1340801656733070000
12/21/2020 6:29:00 AM,C,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,@milosaurus___ Emang ada bedanya antara psbb sama engga?,0,1340801409084640000
12/21/2020 6:25:00 AM,Your Fav Morphine,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@GOODZALLI @jingga_ocean Suwe PSBB
Pengen mangan sate.
Suwe ora JBJB
JBJB pisan nyuwun pap tete.",0,1340800461788440000
12/21/2020 6:06:00 AM,rahmad azhari,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Selamat Pagi.....Mohon share info.....Denga. Berakhirnya PSBB TRANSISI di Jakarta , apakah GANJIL GENAP utk Kendaraan Mobil sudah berlaku....??? Mohon info nya yach.....????",0,1340795783835120000
12/21/2020 5:54:00 AM,Rinal,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @SantorinisSun: Saudara sekalian...
Kemungkinan Gelar Juara Bertahan PSBB Se Dunia akan bs dipertahankan oleh DKI.
Mengingat kasus posit…",34,1340792821708510000
12/21/2020 5:54:00 AM,?????????,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Jangan Karena Alasan Covid-19, Warga Bangsa Dibuat Mainan.

Tidakkah Kalian Ingat, Siapakah Pencetus PSBB Yang Gak Jelas Itu?
Mikir!
??

#TangkapAnakPakLurah",141,1340792658462090000
12/21/2020 5:51:00 AM,The Canisters,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,@arproxy Loh kak bukannya Jakarta psbb lagi karena zona merah ya? Ditempat saya pernah uji coba pembukaan mall tapi ditutup lagi karena cuma satu karyawan yang tertular,0,1340792003559220000
12/21/2020 5:50:00 AM,Dody,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @kurocoffeesip: Ibu pertiwi tolong ... 
Aku sebagai anakmu bingung. Usahaku bangkrut karena psbb di kala pandemi, tapi mencoba kuat kare…",1,1340791790891230000
12/21/2020 5:46:00 AM,2nd_crack,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Ibu pertiwi tolong ... 
Aku sebagai anakmu bingung. Usahaku bangkrut karena psbb di kala pandemi, tapi mencoba kuat karena ini pandemi dan krisis ekonomi dr hal penyakit menular. 

Tapi kok ada bansos di korupsi??? 

Pandemi atau ajang korupsi 

#TangkapAnakPakLurah",1,1340790798565080000
12/21/2020 5:23:00 AM,Yulia Hartati,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@AriestaRiico_ Ya gak gitu juga sih. Poinnya, jangan kasi ijin demo kerumunan massa lagi. Tegakkan aturan PSBB jika masih PSBB. Patuhi UU aja. Pejabat kok kayak mencla mencle",0,1340784970281830000
12/21/2020 5:11:00 AM,pothack,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Mei, Juni, Juli. Setelah fix sample gua ternyata banyak banget sampe 100+ orang pemain yg harus gua ambil data. Tapi korona datang dan psbb mulai dilakukan, gabisa ambil data, digantung dosen bentuk skripsi jadi gimana. Karena awalnya pengambilan data berubah jadi c-",0,1340782017764420000
12/21/2020 5:03:00 AM,m i l o ?,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,Tangsel psbb lagi bund sampe tgl 8 fufufuufu,0,1340779939604220000
12/21/2020 4:59:00 AM,Akha,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,RT @detikcom: Gerindra DKI Jakarta meminta Pemprov DKI Jakarta untuk memastikan semua diskotek di Jakarta tutup saat pandemi Corona. https:…,1,1340778969809900000
12/21/2020 4:47:00 AM,Azurite,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"mauu staycation di villa villa gitu
anyone???
eh psbb diperketat lagi ya? :(",0,1340775874849730000
12/21/2020 4:30:00 AM,#AdaptasiGayaHidupBaruCOVID-19,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"https://t.co/dY5HVWeGqy

@Gerindra @gerindradpddki meminta @DKIJakarta untuk memastikan semua diskotek & HIBURAN malam tutup saat pandemi Corona #KongKalingKongPetugas @SatpolPP_DKI @aniesbaswedan @psi_id @PSI_Jakarta @DivHumas_Polri @BPBDJakarta @dprddkijakarta @BNPB_Indonesia",0,1340771481383390000
12/21/2020 4:06:00 AM,detikcom,<a href='https://www.echobox.com' rel='nofollow'>Echobox</a>,Gerindra DKI Jakarta meminta Pemprov DKI Jakarta untuk memastikan semua diskotek di Jakarta tutup saat pandemi Corona. https://t.co/XDg7GZXUTE,1,1340765443934610000
